2026-06-18 15:55:59,965 | INFO | PUT /agents/44 called
2026-06-18 15:55:59,966 | INFO | Looking for agent 44
2026-06-18 15:55:59,997 | ERROR | id 44 not exists
2026-06-18 15:56:52,209 | INFO | POST /agents called
2026-06-18 15:56:52,209 | INFO | creating agent
2026-06-18 15:56:52,356 | INFO | Agent Created
2026-06-18 16:00:09,888 | INFO | POST /agents called
2026-06-18 16:00:09,888 | INFO | creating agent
2026-06-18 16:00:09,984 | INFO | Agent 5 Created
2026-06-18 16:00:54,337 | INFO | PUT /agents/4 called
2026-06-18 16:00:54,337 | INFO | Looking for agent 4
2026-06-18 16:00:54,374 | INFO | returns agent 4
2026-06-18 16:00:54,374 | INFO | Updating agent
2026-06-18 16:00:54,435 | INFO | Updated successfully
2026-06-18 16:01:13,149 | INFO | Looking for agent 2
2026-06-18 16:01:13,193 | INFO | returns agent 2
2026-06-18 16:01:18,357 | INFO | Looking for agent 4
2026-06-18 16:01:18,396 | INFO | returns agent 4
2026-06-18 16:01:27,656 | INFO | Looking for agent 44
2026-06-18 16:01:27,689 | ERROR | id 44 not exists
2026-06-18 16:01:41,439 | INFO | GET /agents called
2026-06-18 16:01:41,439 | INFO | returns all agents
2026-06-18 16:01:53,548 | INFO | GET /missions called
2026-06-18 16:01:53,548 | INFO | returns all missions
2026-06-18 16:02:57,980 | INFO | POST /missions called
2026-06-18 16:02:57,981 | INFO | creating mission
2026-06-18 16:02:58,071 | INFO | mission Created
2026-06-18 16:03:03,128 | INFO | GET /missions called
2026-06-18 16:03:03,129 | INFO | returns all missions
2026-06-18 16:04:38,719 | INFO | GET /missions called
2026-06-18 16:04:38,720 | INFO | returns all missions
2026-06-18 16:05:18,812 | INFO | POST /missions called
2026-06-18 16:05:18,813 | INFO | creating mission
2026-06-18 16:05:18,940 | INFO | Mission 4 Created
2026-06-18 16:05:30,861 | INFO | Looking for agent 50
2026-06-18 16:05:30,895 | ERROR | mission not exists
2026-06-18 16:05:39,275 | INFO | Looking for agent 4
2026-06-18 16:05:39,308 | INFO | returns mission 4
2026-06-18 16:06:44,743 | INFO | Looking for agent 44
2026-06-18 16:06:44,774 | ERROR | mission 44 not exists
2026-06-18 16:06:52,041 | INFO | GET /agents called
2026-06-18 16:06:52,041 | INFO | returns all agents
2026-06-18 16:07:17,656 | INFO | PUT /missions/1/assign/1 called
2026-06-18 16:07:17,657 | INFO | Looking for agent 1
2026-06-18 16:07:17,689 | INFO | returns mission 1
2026-06-18 16:07:17,689 | INFO | Looking for agent 1
2026-06-18 16:07:17,720 | INFO | returns agent 1
2026-06-18 16:07:17,720 | ERROR | not NEW mission
2026-06-18 16:07:36,747 | INFO | PUT /missions/2/assign/1 called
2026-06-18 16:07:36,748 | INFO | Looking for agent 2
2026-06-18 16:07:36,781 | INFO | returns mission 2
2026-06-18 16:07:36,781 | INFO | Looking for agent 1
2026-06-18 16:07:36,808 | INFO | returns agent 1
2026-06-18 16:07:36,809 | ERROR | not NEW mission
2026-06-18 16:07:40,768 | INFO | PUT /missions/3/assign/1 called
2026-06-18 16:07:40,768 | INFO | Looking for agent 3
2026-06-18 16:07:40,804 | INFO | returns mission 3
2026-06-18 16:07:40,804 | INFO | Looking for agent 1
2026-06-18 16:07:40,832 | INFO | returns agent 1
2026-06-18 16:07:40,832 | ERROR | non nactive agent
2026-06-18 16:07:51,843 | INFO | PUT /missions/3/assign/2 called
2026-06-18 16:07:51,844 | INFO | Looking for agent 3
2026-06-18 16:07:51,882 | INFO | returns mission 3
2026-06-18 16:07:51,883 | INFO | Looking for agent 2
2026-06-18 16:07:51,911 | INFO | returns agent 2
2026-06-18 16:07:51,981 | ERROR | only Commander can take CRITICAL
2026-06-18 16:07:58,808 | INFO | PUT /missions/3/assign/4 called
2026-06-18 16:07:58,808 | INFO | Looking for agent 3
2026-06-18 16:07:58,846 | INFO | returns mission 3
2026-06-18 16:07:58,846 | INFO | Looking for agent 4
2026-06-18 16:07:58,874 | INFO | returns agent 4
2026-06-18 16:07:58,937 | INFO | Updating
2026-06-18 16:07:59,026 | INFO | Updated successfully
2026-06-18 16:08:09,373 | INFO | PUT /missions/3/start called
2026-06-18 16:08:09,373 | INFO | Looking for agent 3
2026-06-18 16:08:09,407 | INFO | returns mission 3
